,OrderDate,Region,City,Category,Product,Quantity,UnitPrice,TotalPrice
0,2020-01-01,East,Boston,Bars,Carrot,33,1.7699999999999998,58.41
1,2020-01-04,East,Boston,Crackers,Whole Wheat,87,3.4899999999999998,303.63
2,2020-01-07,West,Los Angeles,Cookies,Chocolate Chip,58,1.8699999999999999,108.46
3,2020-01-10,East,New York,Cookies,Chocolate Chip,82,1.87,153.34
4,2020-01-13,East,Boston,Cookies,Arrowroot,38,2.18,82.84
5,2020-01-16,East,Boston,Bars,Carrot,54,1.77,95.58
6,2020-01-19,East,Boston,Crackers,Whole Wheat,149,3.4899999999999998,520.01
7,2020-01-22,West,Los Angeles,Bars,Carrot,51,1.77,90.27
8,2020-01-25,East,New York,Bars,Carrot,100,1.77,177.0
9,2020-01-28,East,New York,Snacks,Potato Chips,28,1.35,37.800000000000004
10,2020-01-31,East,Boston,Cookies,Arrowroot,36,2.18,78.48
11,2020-02-03,East,Boston,Cookies,Chocolate Chip,31,1.8699999999999999,57.97
12,2020-02-06,East,Boston,Crackers,Whole Wheat,28,3.4899999999999998,97.72
13,2020-02-09,West,Los Angeles,Bars,Carrot,44,1.7699999999999998,77.88
14,2020-02-12,East,New York,Bars,Carrot,23,1.77,40.71
15,2020-02-15,East,New York,Snacks,Potato Chips,27,1.35,36.45
16,2020-02-18,East,Boston,Cookies,Arrowroot,43,2.1799999999999997,93.73999999999998
17,2020-02-21,East,Boston,Cookies,Oatmeal Raisin,123,2.84,349.32
18,2020-02-24,West,Los Angeles,Bars,Bran,42,1.87,78.54
19,2020-02-27,West,Los Angeles,Cookies,Oatmeal Raisin,33,2.84,93.72
20,2020-03-02,East,New York,Cookies,Chocolate Chip,85,1.8699999999999999,158.95
21,2020-03-05,West,San Diego,Cookies,Oatmeal Raisin,30,2.8400000000000003,85.2
22,2020-03-08,East,Boston,Bars,Carrot,61,1.77,107.97
23,2020-03-11,East,Boston,Crackers,Whole Wheat,40,3.4899999999999998,139.6
24,2020-03-14,West,Los Angeles,Cookies,Chocolate Chip,86,1.8699999999999999,160.82
25,2020-03-17,East,New York,Bars,Carrot,38,1.7700000000000002,67.26
26,2020-03-20,East,New York,Snacks,Potato Chips,68,1.68,114.24
27,2020-03-23,West,San Diego,Cookies,Chocolate Chip,39,1.87,72.93
28,2020-03-26,East,Boston,Bars,Bran,103,1.87,192.61
29,2020-03-29,East,Boston,Cookies,Oatmeal Raisin,193,2.84,548.12
30,2020-04-01,West,Los Angeles,Bars,Carrot,58,1.77,102.66
31,2020-04-04,West,Los Angeles,Snacks,Potato Chips,68,1.68,114.24
32,2020-04-07,East,New York,Bars,Carrot,91,1.77,161.07
33,2020-04-10,East,New York,Crackers,Whole Wheat,23,3.4899999999999998,80.27
34,2020-04-13,West,San Diego,Snacks,Potato Chips,28,1.68,47.04
35,2020-04-16,East,Boston,Bars,Carrot,48,1.7699999999999998,84.96
36,2020-04-19,East,Boston,Snacks,Potato Chips,134,1.68,225.12
37,2020-04-22,West,Los Angeles,Bars,Carrot,20,1.77,35.4
38,2020-04-25,East,New York,Bars,Carrot,53,1.77,93.81
39,2020-04-28,East,New York,Snacks,Potato Chips,64,1.68,107.52
